,election_year,cdu_total,csu_total,spd_total,gruene_total,fdp_total,linke_pds_total,afd_total,cdu_csu,gdp_growth,gdp_growth_lag1
0,1990,36.68646448010547,7.125461124538757,33.48956805033475,5.048272001574645,11.028582828885169,2.4183461003472027,0.0,43.81192560464423,5.25500609657068,
1,1994,34.12469365523435,7.324887233216608,36.43845408707149,7.282314696134266,6.935008370347689,4.277297146797923,0.0,41.44958088845096,2.59758495227749,5.25500609657068
2,1998,28.407176051506315,6.784871561782134,40.96915406785958,6.703701600839307,6.262375143428089,4.999763053593848,0.0,35.19204761328845,2.0961614012438,2.59758495227749
3,2002,29.506199358724956,9.038559765148593,38.525092517776976,8.580949323770593,7.372589392830979,3.937931529251952,0.0,38.54475912387355,-0.228310223930706,2.0961614012438
4,2005,27.776839679725562,7.403272321413438,34.26179334027126,8.119535961382656,9.829171991579576,8.686617999505081,0.0,35.180112001139,0.885697256705441,-0.228310223930706
5,2009,27.26013627991723,6.536989400412388,23.046777280010065,10.710171238321111,14.56476284815174,11.871091431371966,0.0,33.797125680329614,-5.54516454479311,0.885697256705441
6,2013,34.11397765911076,7.4306900647139935,25.748351245984257,8.452151363429465,4.766127542619706,8.573241392240492,4.699423447251246,41.54466772382475,0.386224592046474,-5.54516454479311
7,2017,26.759643494148072,6.179723041644966,20.52183120062333,8.945337787869125,10.750846487991666,9.229857759180032,12.61607029301231,32.93936653579304,2.71602454639843,0.386224592046474
8,2021,18.895782110033128,5.182573780694484,25.75204225471348,14.762961060927452,11.455401906474663,4.885256392489927,10.322348886523766,24.07835589072761,3.6699998840452,2.71602454639843
9,2025,22.550890842772205,5.969904793808406,16.41339524412551,11.606108355326503,4.327936662889389,8.774557295660285,20.80341107953107,28.520795636580612,,3.6699998840452
